Change Physical Footprint: Designator=B1 Old Footprint=Holder-CR2032-103 New Footprint=Holder-CR2032-103
Change Physical Footprint: Designator=C1 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C2 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C3 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C4 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C5 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C6 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C7 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C8 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C9 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C10 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C11 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C12 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C13 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C14 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C15 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C16 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C17 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C18 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C19 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C20 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C21 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C22 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C23 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C24 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C25 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C26 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C27 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C28 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C29 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C30 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C31 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C32 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C33 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C34 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C35 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C36 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C37 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C38 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C39 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C40 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C41 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C42 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C43 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C44 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C45 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C46 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C47 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C48 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C49 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C50 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C51 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C52 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C53 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C54 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C55 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C56 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C57 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C58 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C59 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C60 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C61 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C62 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C63 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C64 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C65 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C66 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C67 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C68 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C69 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C70 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C71 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C72 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C73 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C74 Old Footprint=CAP_ALUM_SIZE_F New Footprint=CAP_ALUM_SIZE_F
Change Physical Footprint: Designator=C75 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C76 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C77 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C78 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C79 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C80 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C81 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C82 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C83 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C84 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C85 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C86 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C87 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C88 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C89 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C90 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C91 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C92 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C93 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C94 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C95 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C96 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C97 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C98 Old Footprint=CAP-0603 New Footprint=CAP-0603
Change Physical Footprint: Designator=C99 Old Footprint=CAP_ALUM_SIZE_F New Footprint=CAP_ALUM_SIZE_F
Change Physical Footprint: Designator=D1 Old Footprint=SOT-323-3 New Footprint=SOT-323-3
Change Physical Footprint: Designator=D2 Old Footprint=SMC - BIIDIR New Footprint=SMC - BIIDIR
Change Physical Footprint: Designator=D3 Old Footprint=SOT-323-3 New Footprint=SOT-323-3
Change Physical Footprint: Designator=D4 Old Footprint=SOD323 - DIODE UNIDIR New Footprint=SOD323 - DIODE UNIDIR
Change Physical Footprint: Designator=D5 Old Footprint=TSSOP6 New Footprint=TSSOP6
Change Physical Footprint: Designator=D6 Old Footprint=TSSOP6 New Footprint=TSSOP6
Change Physical Footprint: Designator=D7 Old Footprint=SOT-323-3 New Footprint=SOT-323-3
Change Physical Footprint: Designator=D8 Old Footprint=SMC - BIIDIR New Footprint=SMC - BIIDIR
Change Physical Footprint: Designator=D9 Old Footprint=SOT-323-3 New Footprint=SOT-323-3
Change Physical Footprint: Designator=D10 Old Footprint=SOD323 - DIODE UNIDIR New Footprint=SOD323 - DIODE UNIDIR
Change Physical Footprint: Designator=D11 Old Footprint=SOT-323-3 New Footprint=SOT-323-3
Change Physical Footprint: Designator=D12 Old Footprint=DIODE-0603 New Footprint=DIODE-0603
Change Physical Footprint: Designator=D13 Old Footprint=SOT-323-3 New Footprint=SOT-323-3
Change Physical Footprint: Designator=D14 Old Footprint=SOD323 - DIODE UNIDIR New Footprint=SOD323 - DIODE UNIDIR
Change Physical Footprint: Designator=D15 Old Footprint=0805 - LED New Footprint=0805 - LED
Change Physical Footprint: Designator=FB1 Old Footprint=IND-0603 New Footprint=IND-0603
Change Physical Footprint: Designator=FB2 Old Footprint=IND-0603 New Footprint=IND-0603
Change Physical Footprint: Designator=FB3 Old Footprint=IND-0603 New Footprint=IND-0603
Change Physical Footprint: Designator=FB4 Old Footprint=IND-0603 New Footprint=IND-0603
Change Physical Footprint: Designator=GDT1 Old Footprint=LITTLELFUSE-CG5XXXLTR New Footprint=LITTLELFUSE-CG5XXXLTR
Change Physical Footprint: Designator=GDT2 Old Footprint=LITTLELFUSE-CG5XXXLTR New Footprint=LITTLELFUSE-CG5XXXLTR
Change Physical Footprint: Designator=GDT3 Old Footprint=LITTLELFUSE-CG5XXXLTR New Footprint=LITTLELFUSE-CG5XXXLTR
